Series_Title,Released_Year,Genre,IMDB_Rating,language
Fast X,2023,"Action, Crime, Thriller, Adventure, Mystery",7.039,en
Top Gun: Maverick,2022,"Action, Drama",8.175,en
Spider-Man: No Way Home,2021,"Action, Adventure, Science Fiction",7.945,en
Batman v Superman: Dawn of Justice,2016,"Action, Adventure, Fantasy",5.982,en
Harry Potter and the Goblet of Fire,2005,"Adventure, Fantasy",7.8,en
Puss in Boots: The Last Wish,2022,"Animation, Adventure, Fantasy, Comedy, Family",8.216,en
No Time to Die,2021,"Action, Thriller, Adventure",7.364,en
Coraline,2009,"Animation, Family, Fantasy",7.893,en
Harry Potter and the Prisoner of Azkaban,2004,"Adventure, Fantasy",8.011,en
The Wolf of Wall Street,2013,"Crime, Drama, Comedy",8.029,en
Bad Boys: Ride or Die,2024,"Action, Comedy, Crime, Thriller, Adventure",7.378,en
Con Air,1997,"Action, Thriller, Crime",6.751,en
Red One,2024,"Action, Comedy, Fantasy",7,en
Shrek,2001,"Animation, Comedy, Fantasy, Adventure, Family",7.752,en
Ready Player One,2018,"Adventure, Action, Science Fiction",7.589,en
The Matrix,1999,"Action, Science Fiction",8.227,en
Memoir of a Snail,2024,"Animation, Drama, Comedy",8.085,en
Beetlejuice,1988,"Fantasy, Comedy",7.371,en
The Conjuring,2013,"Horror, Thriller",7.54,en
The Karate Kid,2010,"Action, Adventure, Drama, Family",6.557,en
The Siege,2023,"Action, Thriller",5.4,en
The Lord of the Rings: The Fellowship of the Ring,2001,"Adventure, Fantasy, Action",8.422,en
Arrival,2016,"Drama, Science Fiction, Mystery",7.616,en
Fight Club,1999,Drama,8.438,en
Avengers: Endgame,2019,"Adventure, Science Fiction, Action",8.239,en
Charlie's Angels,2019,"Action, Adventure, Comedy",6.41,en
Black Panther,2018,"Action, Adventure, Science Fiction",7.373,en
Doctor Strange,2016,"Action, Adventure, Fantasy",7.418,en
The Maze Runner,2014,"Action, Mystery, Science Fiction, Thriller",7.19,en
Ratatouille,2007,"Animation, Comedy, Family, Fantasy",7.828,en
The Dark Knight,2008,"Drama, Action, Crime, Thriller",8.52,en
Basic Instinct,1992,"Thriller, Mystery",6.933,en
Nosferatu,2024,"Horror, Fantasy",6.721,en
After,2019,"Romance, Drama",7.12,en
Dune,2021,"Science Fiction, Adventure",7.782,en
Final Destination 3,2006,"Horror, Mystery",6.132,en
The Dark Tower,2017,"Fantasy, Action, Science Fiction",5.778,en
Avatar: The Way of Water,2022,"Science Fiction, Adventure, Action",7.611,en
The Hangover,2009,Comedy,7.324,en
Terrifier 3,2024,"Horror, Thriller",6.8,en
Wonder,2017,"Family, Drama",8.118,en
Zootopia,2016,"Animation, Adventure, Family, Comedy",7.747,en
Spectre,2015,"Action, Adventure, Thriller",6.558,en
I Still Know What You Did Last Summer,1998,"Horror, Mystery, Thriller",5.37,en
Prisoners,2013,"Drama, Thriller, Crime",8.099,en
Happy Death Day,2017,"Comedy, Horror, Mystery",6.66,en
Me Before You,2016,"Drama, Romance",7.93,en
Resident Evil: Welcome to Raccoon City,2021,"Action, Horror, Science Fiction",5.971,en
La La Land,2016,"Comedy, Drama, Romance, Music",7.9,en
Twilight,2008,"Fantasy, Drama, Romance",6.286,en
Gone Girl,2014,"Mystery, Thriller, Drama",7.889,en
Babygirl,2024,Drama,5.761,en
Harry Potter and the Deathly Hallows: Part 1,2010,"Adventure, Fantasy",7.741,en
Logan Lucky,2017,"Comedy, Crime, Action, Drama",6.73,en
Leroy & Stitch,2006,"Animation, Comedy, Family, TV Movie",6.6,en
Ford v Ferrari,2019,"Drama, Action, History",8.003,en
The Batman,2022,"Crime, Mystery, Thriller",7.657,en
Harry Potter and the Deathly Hallows: Part 2,2011,"Fantasy, Adventure",8.086,en
Fall,2022,Thriller,7.138,en
Prey,2022,"Thriller, Action, Science Fiction",7.692,en
"Three Billboards Outside Ebbing, Missouri",2017,"Crime, Drama",8.067,en
The Huntsman: Winter's War,2016,"Action, Adventure, Drama",6.289,en
Toy Story,1995,"Animation, Adventure, Family, Comedy",7.969,en
Harry Potter and the Order of the Phoenix,2007,"Adventure, Fantasy",7.674,en
Groot's First Steps,2022,"Animation, Family, Comedy, Science Fiction",7,en
Harry Potter and the Half-Blood Prince,2009,"Adventure, Fantasy",7.683,en
Se7en,1995,"Crime, Mystery, Thriller",8.376,en
Final Destination 2,2003,"Horror, Mystery",6.285,en
The Notebook,2004,"Romance, Drama",7.89,en
The Thing,1982,"Horror, Mystery, Science Fiction",8.07,en
Transformers: Rise of the Beasts,2023,"Science Fiction, Adventure, Action",7.228,en
