Series_Title,Released_Year,Genre,IMDB_Rating,language
The Judge,2014,Drama,7.324,en
Crush,2009,"Drama, Horror, Thriller",3.87,en
Lawrence of Arabia,1962,"Adventure, History, War",7.996,en
Over the Top,1987,"Action, Drama",6.441,en
Jack and Jill,2011,"Comedy, Family",4.376,en
Memoirs of a Geisha,2005,"Drama, Romance, History",7.656,en
Big Game,2015,"Action, Adventure, Thriller",5.488,en
Cliffhanger,1993,"Action, Adventure, Thriller",6.513,en
The Change-Up,2011,Comedy,6.153,en
Knox Goes Away,2024,"Action, Crime, Thriller",6.968,en
The Unbearable Weight of Massive Talent,2022,"Action, Comedy, Crime",6.791,en
Chef,2014,Comedy,7.114,en
The Order,2024,"Crime, Drama, Thriller",6.563,en
Carlito's Way,1993,"Crime, Drama, Thriller",7.833,en
Lifeforce,1985,"Horror, Science Fiction, Action",6.3,en
Clifford the Big Red Dog,2021,"Family, Adventure, Comedy, Fantasy, Animation",7.172,en
A Girl Walks Home Alone at Night,2014,"Horror, Romance",6.816,en
A Family Affair,2024,"Romance, Comedy",5.795,en
Inferno,2016,"Mystery, Thriller, Action",6.081,en
Barry Lyndon,1975,"Drama, Romance, War, History",8.004,en
The Dead Don't Die,2019,"Horror, Comedy, Fantasy",5.439,en
The Legend of Tarzan,2016,"Fantasy, Action, Adventure",5.911,en
Entrapment,1999,"Romance, Drama, Mystery",6.228,en
Serenity,2005,"Science Fiction, Action, Adventure, Thriller",7.363,en
Lucky Number Slevin,2006,"Drama, Thriller, Crime, Mystery",7.483,en
Enemy,2014,"Thriller, Mystery",6.856,en
Barely Lethal,2015,"Action, Comedy, Adventure, Romance",5.738,en
The Man with the Golden Gun,1974,"Adventure, Action, Thriller",6.44,en
Apartment 7A,2024,"Horror, Thriller",6.17,en
Midway,2019,"Action, War, History",7.117,en
City of Angels,1998,"Romance, Drama, Fantasy",6.805,en
Piranha 3D,2010,"Comedy, Horror",5.4,en
Noah,2014,"Drama, Adventure",5.672,en
"O Brother, Where Art Thou?",2000,"Adventure, Comedy, Crime",7.319,en
Natural Born Killers,1994,"Crime, Thriller, Drama",7.062,en
Night Swim,2024,Horror,5.524,en
Anchorman 2: The Legend Continues,2013,Comedy,6.134,en
The Curse of the Necklace,2024,"Horror, Mystery, Thriller",5.6,en
Burn After Reading,2008,"Comedy, Drama",6.655,en
Fatal Attraction,1987,"Thriller, Drama, Romance",6.843,en
Shortbus,2006,"Romance, Drama, Comedy",6.3,en
For Your Eyes Only,1981,"Adventure, Action, Thriller",6.536,en
Kill Command,2016,"Action, Horror, Science Fiction, Thriller",5.6,en
Halloween,2007,Horror,6.213,en
Shallow Hal,2001,"Comedy, Romance",6.161,en
BlackBerry,2023,"Comedy, Drama",7.152,en
The Wall,2017,"War, Thriller, Drama, Action",6.391,en
Goosebumps 2: Haunted Halloween,2018,"Comedy, Fantasy, Horror",6.1,en
Night at the Museum: Battle of the Smithsonian,2009,"Adventure, Fantasy, Action, Comedy, Family",6.141,en
The Mistress,2023,"Horror, Thriller",4.7,en
Striptease,1996,"Comedy, Crime, Drama",5.5,en
Fresh,2022,"Horror, Thriller",6.986,en
"New York, I Love You",2008,"Comedy, Drama, Romance",5.936,en
To Catch a Killer,2023,"Thriller, Crime, Drama",6.9,en
"Hail, Caesar!",2016,"Comedy, Crime, Mystery, Drama",5.925,en
Crush,2022,"Comedy, Romance",7.422,en
Trigger Warning,2024,Action,5.738,en
Beverly Hills Cop II,1987,"Action, Comedy, Crime",6.516,en
Barbie as The Princess & the Pauper,2004,"Animation, Family, Comedy",7.473,en
Silence,2016,"Drama, History",7.126,en
Jaws 2,1978,"Horror, Thriller",6.019,en
The Longest Ride,2015,"Drama, Romance",7.632,en
Stuart Little 2,2002,"Family, Adventure, Comedy",5.8,en
Foe,2023,"Science Fiction, Drama",5.703,en
Being John Malkovich,1999,"Comedy, Drama, Fantasy",7.415,en
Boogie Nights,1997,Drama,7.63,en
Paradox Effect,2024,"Action, Thriller",5.375,en
The Canterville Ghost,2023,"Animation, Comedy, Family, Fantasy",6.646,en
Airplane Mode,2019,Comedy,2.7,en
Saw VI,2009,"Horror, Thriller",6.284,en
The Peacemaker,1997,"Action, Thriller",6,en
Skyscraper,2018,"Action, Thriller, Adventure",6.319,en
Cujo,1983,"Horror, Thriller",6.148,en
A Thousand Words,2012,"Drama, Comedy",6.092,en
Peter Pan,2003,"Adventure, Fantasy, Family",7.151,en
The Flintstones,1994,"Fantasy, Comedy, Family",5.349,en
Willow,1988,"Fantasy, Adventure, Action",7.01,en
Pitch Perfect 3,2017,"Comedy, Music",6.52,en
The Last Stand,2013,"Action, Crime, Thriller",6.077,en
Splice,2010,"Horror, Science Fiction",5.869,en
Atlantis: The Lost Empire,2001,"Animation, Family, Adventure, Science Fiction",7.016,en
The Return,2024,"History, Drama, Adventure",6.52,en
Fracture,2007,Thriller,7.267,en
Enter the Dragon,1973,Action,7.416,en
2073,2024,"Thriller, Science Fiction",7,en
1408,2007,"Horror, Mystery",6.695,en
Eden Lake,2008,"Horror, Thriller",6.824,en
Speed Racer,2008,"Family, Action, Adventure, Comedy",6.284,en
The Living Daylights,1987,"Action, Adventure, Thriller",6.525,en
The Vast of Night,2019,"Drama, Mystery, Science Fiction, Thriller",6.557,en
Silent Hill: Revelation 3D,2012,"Thriller, Horror, Mystery",5.539,en
Captain Phillips,2013,"Action, Drama, Thriller",7.54,en
The Talented Mr. Ripley,1999,"Thriller, Crime, Drama",7.192,en
LEGO Marvel Avengers: Mission Demolition,2024,"Animation, Comedy, Science Fiction",6.56,en
Last Night in Soho,2021,"Horror, Mystery",7.295,en
The King,2019,"Drama, History, War",7.162,en
If I Stay,2014,Drama,7.367,en
She Said,2022,"Drama, History",7.242,en
Air Bud: Seventh Inning Fetch,2002,"Comedy, Family",5.5,en
Candy,1968,"Adventure, Comedy, Fantasy",5.2,en
The Waterboy,1998,Comedy,6.052,en
Cult of Chucky,2017,"Horror, Thriller",5.822,en
"Tomorrow, When the War Began",2010,"Action, Adventure, Drama",6.2,en
Priest,2011,"Action, Fantasy, Horror, Thriller",5.825,en
Philadelphia,1993,Drama,7.714,en
I Spit on Your Grave III: Vengeance Is Mine,2015,"Horror, Thriller",5.776,en
Watership Down,1978,"Adventure, Animation, Drama",7.187,en
Hellraiser,1987,"Horror, Thriller, Fantasy",6.884,en
The Lego Movie 2: The Second Part,2019,"Action, Adventure, Animation, Comedy, Family",6.671,en
The Place Beyond the Pines,2013,"Drama, Crime",6.975,en
"Are You There God? It's Me, Margaret.",2023,"Comedy, Drama",7.228,en
Days of Thunder,1990,"Adventure, Action, Drama",6.368,en
Cube,1998,"Thriller, Science Fiction, Mystery",6.802,en
"Good Night, and Good Luck.",2005,"Drama, History",7.077,en
The Bounty Hunter,2010,"Action, Comedy, Romance",5.852,en
Horror in the High Desert,2021,Horror,5.925,en
Sleeping Dogs,2024,"Mystery, Thriller, Crime, Drama",7.028,en
Two Weeks Notice,2002,"Romance, Comedy",6.359,en
The Best Christmas Pageant Ever,2024,"Comedy, Drama, Family",6.92,en
Resident Evil,2002,"Horror, Action, Science Fiction",6.642,en
Big City Greens the Movie: Spacecation,2024,"Animation, Family, Comedy, Music, TV Movie",7.6,en
Bad Teacher,2011,Comedy,5.603,en
Clawfoot,2024,Thriller,5,en
Johnny English,2003,"Adventure, Action, Comedy",6.276,en
Red Dawn,2012,"Action, Thriller",5.703,en
Conquest of the Planet of the Apes,1972,"Action, Science Fiction",6.16,en
Chantal,2007,Drama,4.333,en
The Running Man,1987,"Action, Science Fiction, Thriller",6.539,en
Kickboxer,1989,"Action, Thriller, Drama",6.8,en
Analyze This,1999,"Comedy, Crime",6.512,en
War,2007,"Action, Crime, Thriller",6.401,en
Transformers: Revenge of the Fallen,2009,"Science Fiction, Action, Adventure",6.199,en
Proximity,2020,"Science Fiction, Drama",6.544,en
Beauty and the Beast: The Enchanted Christmas,1997,"Animation, Family, Fantasy",6.2,en
Underworld: Evolution,2006,"Fantasy, Action, Thriller",6.59,en
Season of the Witch,2011,"Adventure, Fantasy, Action",5.481,en
Jumper,2008,"Action, Adventure, Science Fiction",6.157,en
Good Boys,2019,Comedy,6.856,en
Tall Girl,2019,"Comedy, Drama, Romance",6.306,en
Deuce Bigalow: Male Gigolo,1999,"Comedy, Romance",6,en
Solaris,2002,"Drama, Science Fiction, Mystery",5.919,en
Frankenweenie,2012,"Animation, Comedy, Family",7,en
Papillon,2017,Drama,7.334,en
The Man from Toronto,2022,"Action, Adventure, Comedy",6.395,en
Body of Lies,2008,"Action, Drama, Thriller",6.631,en
Kill 'em All,2017,"Action, Crime",5.7,en
The Six Triple Eight,2024,"Drama, War, History",7.573,en
Jack Ryan: Shadow Recruit,2014,"Action, Drama, Thriller",6.118,en
Brother Bear 2,2006,"Adventure, Animation, Family",6.6,en
Ticket to Paradise,2022,"Drama, Comedy, Romance",6.448,en
Point Break,2015,"Action, Adventure, Crime, Thriller",5.956,en
Extinction,2018,"Action, Drama, Science Fiction, Thriller",6.035,en
Life,1999,"Comedy, Crime",6.654,en
Deepwater Horizon,2016,"Drama, Action",6.882,en
Jarhead,2005,"Drama, War",6.67,en
Wifelike,2022,"Science Fiction, Mystery, Thriller",6.7,en
You've Got Mail,1998,"Comedy, Romance",6.689,en
The Remaining,2014,"Thriller, Horror",6.095,en
Master and Commander: The Far Side of the World,2003,"Adventure, Drama, War",7.161,en
Powder,1995,"Drama, Fantasy",6.999,en
Bodies Bodies Bodies,2022,"Horror, Comedy, Mystery",6.196,en
Misery,1990,"Drama, Thriller",7.747,en
The Social Dilemma,2020,"Documentary, Drama",7.441,en
The Ugly Truth,2009,"Comedy, Romance",6.504,en
The Forbidden Kingdom,2008,"Action, Adventure, Fantasy",6.616,en
Machete,2010,"Action, Comedy, Thriller",6.338,en
The James Dean Story,1957,Documentary,5.3,en
"South Park: Bigger, Longer & Uncut",1999,"Animation, Comedy",7.271,en
The Sting,1973,"Comedy, Crime, Drama",8.025,en
Prey for the Devil,2022,"Horror, Thriller",6.9,en
Frida,2002,"Drama, Romance",7.4,en
I Spit on Your Grave: D?j? Vu,2019,"Thriller, Horror",2.937,en
Nimona,2023,"Animation, Family, Action, Science Fiction, Adventure, Fantasy, Drama",7.872,en
An American Werewolf in London,1981,"Comedy, Horror",7.416,en
Underworld: Rise of the Lycans,2009,"Fantasy, Action, Thriller",6.535,en
Debt Collectors,2020,"Action, Comedy, Crime",6.1,en
Something's Gotta Give,2003,"Drama, Comedy, Romance",6.641,en
Code 8 Part II,2024,"Science Fiction, Action, Crime",6.4,en
Meet the Fockers,2004,"Comedy, Romance",6.25,en
Role Play,2023,"Action, Comedy, Romance",6,en
"Big Mommas: Like Father, Like Son",2011,"Crime, Comedy, Action",5.5,en
The Siege,1998,"Drama, Action, Thriller, Crime",6.3,en
Bob Marley: One Love,2024,"Music, History, Drama",6.681,en
In the Land of Saints and Sinners,2023,"Action, Thriller",6.52,en
Devotion,2022,"War, Drama, Action",7.102,en
Clash of the Titans,1981,"Adventure, Fantasy, Action",6.897,en
Security,2017,"Action, Thriller, Crime",6.3,en
Tyler Perry's Divorce in the Black,2024,"Drama, Thriller",7.1,en
Puss in Boots: The Three Diablos,2012,"Adventure, Animation, Comedy, Family",6.5,en
Journey to the Center of the Earth,2008,"Action, Science Fiction, Adventure, Comedy, Family",6.076,en
The Edge of Seventeen,2016,"Comedy, Drama",7.16,en
Barbie: A Fashion Fairytale,2010,"Family, Animation",7.248,en
Singin' in the Rain,1952,"Comedy, Romance",8.146,en
Saw II,2005,Horror,6.599,en
Spiral,2007,"Drama, Thriller, Horror",6.1,en
Raising Arizona,1987,"Comedy, Crime",7.058,en
Dogma,1999,"Fantasy, Comedy, Adventure",6.927,en
Rocky V,1990,Drama,5.772,en
Thelma,2024,"Action, Comedy, Adventure, Drama",6.869,en
Barbie and the Diamond Castle,2008,"Animation, Family",7.42,en
Lethal Weapon 3,1992,"Adventure, Action, Comedy, Thriller, Crime",6.701,en
Riddick,2013,"Science Fiction, Action, Thriller",6.328,en
Nurse 3-D,2013,"Horror, Thriller",5.3,en
Street of a Thousand Pleasures,1972,Fantasy,4.6,en
The Teacher,1974,"Crime, Thriller",4.2,en
National Lampoon's Vacation,1983,"Comedy, Adventure",7.103,en
Invictus,2009,"Drama, History",7.181,en
Here,2024,Drama,6.7,en
Booksmart,2019,Comedy,7.013,en
Lights Out,2016,Horror,6.359,en
Blast from the Past,1999,"Drama, Romance, Comedy",6.775,en
Mirror Mirror,2012,"Adventure, Comedy, Family, Fantasy",5.9,en
Teenage Mutant Ninja Turtles,1990,"Science Fiction, Action, Adventure, Comedy, Family",6.688,en
The Transporter Refueled,2015,"Action, Thriller, Crime",5.5,en
The Rocky Horror Picture Show,1975,"Comedy, Science Fiction, Fantasy, Horror",7.45,en
Bottoms,2023,Comedy,6.745,en
Extinction,2015,"Action, Adventure, Horror, Science Fiction, Thriller",6.3,en
Edge of Darkness,2010,"Crime, Drama, Mystery, Thriller",6.357,en
The Happening,2008,"Thriller, Science Fiction",5.4,en
The Darkest Minds,2018,"Action, Adventure, Drama",7.034,en
The 355,2022,"Action, Adventure, Thriller",6,en
RED 2,2013,"Action, Comedy, Crime, Thriller",6.525,en
Jeepers Creepers 3,2017,Horror,4.905,en
One-Eyed Jacks,1961,"Western, Drama",6.732,en
A League of Their Own,1992,"Comedy, Drama",7.21,en
T?R,2022,"Music, Drama",7.091,en
The Royal Tenenbaums,2001,"Comedy, Drama",7.466,en
Dirty Grandpa,2016,Comedy,5.929,en
Nanny McPhee and the Big Bang,2010,"Comedy, Fantasy, Family",6.295,en
Die Another Day,2002,"Adventure, Action, Thriller",5.99,en
Inside Man: Most Wanted,2019,"Action, Crime, Thriller",6.354,en
Breathe,2024,"Action, Science Fiction, Mystery, Thriller",5.7,en
Rocky III,1982,Drama,6.894,en
Klaus,2019,"Animation, Family, Adventure, Comedy, Fantasy",8.236,en
Manos: The Hands of Fate,1966,Horror,2.08,en
The Death of Stalin,2017,"Comedy, Drama, History",7.001,en
Doctor Sleep,2019,"Horror, Fantasy",7.144,en
57 Seconds,2023,"Thriller, Science Fiction, Action",6.113,en
Big Momma's House,2000,"Crime, Comedy",5.8,en
Justice League: Crisis on Infinite Earths Part Two,2024,"Animation, Science Fiction, Action",6.83,en
"Batman: The Dark Knight Returns, Part 2",2013,"Science Fiction, Action, Animation, Mystery",7.928,en
Level 16,2018,"Science Fiction, Thriller",6.764,en
Vivo,2021,"Animation, Family, Comedy",7.3,en
The Ruins,2008,Horror,5.922,en
Pineapple Express,2008,"Action, Comedy, Crime",6.641,en
What Lies Beneath,2000,"Drama, Horror, Mystery, Thriller",6.437,en
Superhero Movie,2008,"Comedy, Action, Science Fiction",5.273,en
That Christmas,2024,"Animation, Comedy, Family, Fantasy, Adventure",7.2,en
Only the Brave,2017,"Drama, Action",7.428,en
Inside,2023,"Thriller, Drama",5.61,en
The Time Traveler's Wife,2009,"Drama, Romance, Fantasy",6.926,en
First Daughter,2004,"Family, Comedy, Drama, Romance",6.164,en
Step Brothers,2008,Comedy,6.551,en
Non-Stop,2014,"Action, Thriller, Mystery",6.81,en
Paranormal Activity 3,2011,"Horror, Mystery",5.891,en
Undertaking Betty,2002,"Comedy, Romance",6.1,en
Next,2007,"Action, Science Fiction, Thriller",6.102,en
Paulie,1998,"Drama, Comedy, Family, Adventure",6.9,en
Secret Headquarters,2022,"Action, Adventure, Comedy, Science Fiction, Family",6.448,en
Ghostland,2018,"Horror, Mystery, Thriller",7.38,en
Arthur the King,2024,"Adventure, Drama",7.599,en
The Boss Baby,2017,"Animation, Comedy, Family",6.453,en
The Beast Within,2024,"Horror, Drama, Thriller",5.868,en
Dracula Untold,2014,"Horror, Action, Fantasy",6.44,en
Last Holiday,2006,"Adventure, Comedy, Drama",7.198,en
Men of Honor,2000,Drama,7.49,en
A Dog's Way Home,2019,"Drama, Adventure, Family",7.4,en
The Machinist,2004,"Thriller, Drama",7.528,en
Road to Perdition,2002,"Crime, Drama, Thriller",7.357,en
Kubo and the Two Strings,2016,"Animation, Adventure, Family",7.633,en
High Plains Drifter,1973,"Western, Drama, Mystery",7.343,en
The Man from U.N.C.L.E.,2015,"Comedy, Action, Adventure",7.085,en
Stranger Than Fiction,2000,"Comedy, Thriller",5.5,en
The Sorcerer's Apprentice,2010,"Fantasy, Adventure, Action",6.128,en
Enola Holmes 2,2022,"Adventure, Mystery, Crime",7.348,en
Eragon,2006,"Fantasy, Action, Adventure, Family",5.109,en
Woman of the Hour,2024,"Crime, Drama, Thriller",6.429,en
Patriots Day,2016,"Action, Crime, Drama, History, Thriller",7.055,en
Breakfast at Tiffany's,1961,"Comedy, Romance, Drama",7.643,en
Evan Almighty,2007,"Fantasy, Comedy, Family",5.579,en
20 Million Miles to Earth,1957,"Science Fiction, Horror",6.148,en
The Hustle,2019,"Comedy, Crime",6.191,en
Dreamgirls,2006,"Drama, Music",6.727,en
Haunting of the Queen Mary,2023,"Horror, Thriller, Mystery",5.3,en
Casino Royale,1967,"Adventure, Action, Comedy",5.248,en
Tom and Jerry: The Fast and the Furry,2005,"Animation, Comedy, Family",7,en
Gridiron Gang,2006,"Crime, Drama",7,en
Doomsday,2008,"Action, Thriller, Science Fiction",5.95,en
Mystic River,2003,"Thriller, Crime, Drama, Mystery",7.744,en
The Faculty,1998,"Horror, Science Fiction",6.553,en
Bride of the Gorilla,1951,Horror,4.8,en
Cha Cha Real Smooth,2022,"Comedy, Drama, Romance",7.1,en
Sisters,2015,Comedy,6,en
Mr. Imperium,1951,"Music, Drama, Romance",4.9,en
Countdown,2019,"Horror, Thriller",6.234,en
The Wild,2006,"Family, Animation",5.5,en
2067,2020,Science Fiction,5.362,en
Love in Taipei,2023,"Romance, Comedy, Drama",6.8,en
Chestnut: Hero of Central Park,2004,"Family, Comedy",7.2,en
The Texas Chainsaw Massacre 2,1986,"Horror, Comedy",5.643,en
Johnny English Strikes Again,2018,"Action, Adventure, Comedy",6.3,en
Family Switch,2023,"Comedy, Fantasy, Family",6.395,en
The Babysitter: Killer Queen,2020,"Comedy, Horror",6.346,en
The Great Mouse Detective,1986,"Animation, Family, Adventure, Mystery",7.043,en
D?di (???),2024,"Comedy, Drama",7.211,en
Lolita,1962,"Drama, Comedy, Romance",7.316,en
When Harry Met Sally...,1989,"Comedy, Romance, Drama",7.404,en
#Like,2019,Thriller,5,en
Dazed and Confused,1993,"Comedy, Drama",7.317,en
Bean,1997,"Family, Adventure, Comedy",6.46,en
Clue,1985,"Comedy, Thriller, Crime, Mystery",7.225,en
Vicky Cristina Barcelona,2008,"Drama, Romance",6.792,en
Miss Congeniality,2000,"Comedy, Crime, Action",6.539,en
Child's Play 3,1991,"Horror, Thriller",5.879,en
Step Up 2: The Streets,2008,"Music, Drama, Romance",6.7,en
The Lone Ranger,2013,"Action, Adventure, Western",6.112,en
Holes,2003,"Adventure, Family, Drama, Comedy",6.863,en
Marcel the Shell with Shoes On,2022,"Animation, Comedy, Drama, Family",7.676,en
The Fighter,2010,Drama,7.382,en
Emma.,2020,"Comedy, Romance",7.016,en
Sniper: Ghost Shooter,2016,"Action, Drama, War",6.265,en
The Shallows,2016,"Horror, Drama, Thriller",6.3,en
The Longest Day,1962,"War, Action, Drama",7.583,en
A Boy and His Dog,1975,"Drama, Science Fiction, Comedy",6.271,en
Sucker Punch,2011,"Action, Fantasy, Thriller",6.191,en
Kiss Kiss Bang Bang,2005,"Comedy, Crime, Mystery, Thriller",7.169,en
Blazing Saddles,1974,"Western, Comedy",7.245,en
Austin Powers: International Man of Mystery,1997,"Science Fiction, Comedy, Crime",6.573,en
Barbie: A Fairy Secret,2011,"Animation, Family, Fantasy",6.864,en
Deliver Us,2023,Horror,5.4,en
Charlotte's Web,2006,"Comedy, Family, Fantasy",6.216,en
King Arthur,2004,"Adventure, War, History, Action, Drama",6.297,en
Small Soldiers,1998,"Comedy, Adventure, Fantasy, Science Fiction, Action",6.5,en
The Gambler,2014,"Thriller, Crime, Drama",6.015,en
Jerry & Marge Go Large,2022,"Comedy, Drama",7.361,en
Fallen,2016,"Drama, Fantasy, Romance",6.1,en
"Mickey, Donald, Goofy: The Three Musketeers",2004,"Adventure, Animation, Comedy, Family",6.7,en
Christopher Robin,2018,"Adventure, Comedy, Family, Fantasy",7.3,en
Forever My Girl,2018,"Romance, Drama",7.608,en
The Night Clerk,2020,"Thriller, Crime, Drama",6.223,en
Romancing the Stone,1984,"Romance, Comedy, Action, Adventure",6.759,en
Wild Things,1998,"Mystery, Thriller, Drama",6.367,en
Barnyard,2006,"Animation, Comedy, Family",5.893,en
Copshop,2021,"Thriller, Crime, Action",6.277,en
Hustlers,2019,"Drama, Comedy, Crime",6.472,en
Kick-Ass 2,2013,"Action, Adventure, Crime",6.401,en
The Collector,2009,"Horror, Thriller",6.613,en
Sisters,1973,"Thriller, Horror, Mystery",6.7,en
Girl Haunts Boy,2024,"Fantasy, Romance, Comedy",6.829,en
Shotgun Wedding,2022,"Action, Comedy, Romance",6.3,en
Unhinged,2020,"Action, Thriller, Horror",6.439,en
X,2011,"Action, Thriller, Romance",6.4,en
American Hustle,2013,"Drama, Crime",6.853,en
Abraham Lincoln: Vampire Hunter,2012,"Action, Fantasy, Horror",5.753,en
Legend,1985,"Adventure, Fantasy",6.226,en
Son of the Mask,2005,"Fantasy, Comedy, Family, Adventure",4.2,en
Pinocchio,2022,"Fantasy, Adventure, Family",6.314,en
Warm Bodies,2013,"Horror, Comedy, Romance",6.464,en
Death Race: Inferno,2013,"Action, Science Fiction, Thriller",5.836,en
Dark Waters,2019,"Drama, Thriller",7.54,en
The Graduate,1967,"Drama, Romance, Comedy",7.636,en
Pan,2015,"Fantasy, Adventure, Family, Action",5.959,en
The Outfit,2022,"Crime, Drama, Thriller, Mystery",7.088,en
Six Days Seven Nights,1998,"Comedy, Action, Adventure, Romance",6.1,en
Flightplan,2005,"Thriller, Drama, Mystery",6.458,en
Animal House,1978,Comedy,6.976,en
Outbreak,1995,"Action, Drama, Science Fiction, Thriller",6.568,en
The House That Jack Built,2018,"Drama, Horror, Crime, Thriller",7.124,en
The Magic Flute,2022,"Adventure, Fantasy, Music, Family",6.5,en
Beautiful Wedding,2024,"Romance, Comedy, Drama",5.5,en
Elektra,2005,"Action, Fantasy, Adventure",5.036,en
It's What's Inside,2024,"Comedy, Mystery, Science Fiction",6.416,en
48 Hrs.,1982,"Crime, Action, Comedy",6.691,en
Up in the Air,2009,"Drama, Romance",6.874,en
Runaway Bride,1999,"Comedy, Romance",6.109,en
The American,2010,"Crime, Drama, Thriller",5.971,en
Leap Year,2010,"Romance, Comedy",6.898,en
The World's End,2013,"Comedy, Action, Science Fiction",6.808,en
Saw IV,2007,"Horror, Thriller, Crime",6.163,en
Gerald's Game,2017,"Horror, Thriller",6.395,en
Knocked Up,2007,"Comedy, Romance, Drama",6.294,en
The Ledge,2022,"Thriller, Adventure",6.589,en
The Trial of the Chicago 7,2020,"Drama, History",7.684,en
Tinker Tailor Soldier Spy,2011,"Drama, Thriller, Mystery",6.619,en
Dragons: Dawn of the Dragon Racers,2014,"Animation, Family, Adventure, Comedy, Fantasy",7.3,en
Meet the Parents,2000,"Comedy, Romance",6.681,en
War Horse,2011,"War, History, Adventure",7.3,en
Witness,1985,"Crime, Drama, Romance, Thriller",7.095,en
Sabrina,1995,"Romance, Drama",6.2,en
Chip 'n Dale: Rescue Rangers,2022,"Animation, Family, Comedy, Adventure, Mystery",6.995,en
Kissed,2020,Horror,6.5,en
Napoleon Dynamite,2004,Comedy,6.779,en
The Ice Road,2021,"Action, Thriller",6.807,en
Lincoln,2012,"History, Drama",6.856,en
The Last Showgirl,2024,Drama,6.534,en
Diary of a Wimpy Kid,2010,"Comedy, Family",6.253,en
Remember Me,2010,"Drama, Romance",7.114,en
Cinderella III: A Twist in Time,2007,"Animation, Romance, Family, Fantasy",6.5,en
Hot Shots! Part Deux,1993,"Action, Comedy, War",6.548,en
Glory,1989,"Drama, History, War",7.472,en
The Outpost,2020,"War, Drama, History, Action",6.899,en
Home Sweet Home Alone,2021,"Family, Comedy, Crime",4.89,en
A Christmas Carol,2009,"Animation, Family, Fantasy",6.888,en
The Searchers,1956,Western,7.698,en
Spirited,2022,Comedy,6.869,en
Murder Mystery 2,2023,"Mystery, Comedy, Crime",6.427,en
Love Again,2023,"Romance, Drama, Comedy",6.736,en
Signs,2002,"Drama, Thriller, Science Fiction, Mystery",6.699,en
Blue Valentine,2010,"Drama, Romance",6.943,en
The Little Prince,2015,"Adventure, Animation, Fantasy, Family",7.609,en
Skal: Fight for Survival,2023,"Action, Horror, Comedy, Thriller",5.5,en
Dear John,2010,"Drama, Romance, War",6.848,en
xXx: State of the Union,2005,"Action, Adventure, Crime, Thriller",5.049,en
Air Force One,1997,"Action, Thriller",6.483,en
Footloose,1984,"Drama, Romance",6.676,en
The Last Boy Scout,1991,"Action, Thriller",6.829,en
The Guardian,2006,"Action, Drama",7.1,en
Runaway Jury,2003,"Drama, Thriller",6.926,en
In the Heart of the Sea,2015,"Thriller, Drama, Adventure, Action, History",6.758,en
The Green Hornet,2011,"Action, Crime, Comedy",5.587,en
Fire with Fire,2012,"Action, Crime, Drama, Thriller",5.675,en
Creep,2014,"Horror, Thriller",6.38,en
The Adventure of A.R.I.: My Robot Friend,2022,"Family, Science Fiction",6.7,en
The Texas Chainsaw Massacre: The Beginning,2006,Horror,6.146,en
The Birds,1963,"Horror, Thriller",7.518,en
Gangster Squad,2013,"Crime, Drama, Action, Thriller",6.372,en
Hounds of War,2024,"Action, Thriller",6.311,en
Dog,2022,"Drama, Comedy",7.3,en
He's All That,2021,"Comedy, Romance",6.51,en
Neighbors 2: Sorority Rising,2016,Comedy,5.818,en
The Human Centipede 3 (Final Sequence),2015,Horror,3.7,en
Thirteen,2003,Drama,6.663,en
The Mauritanian,2021,"Drama, Thriller",7.414,en
Johnny English Reborn,2011,"Crime, Action, Comedy",6.237,en
Christine,1983,Horror,6.87,en
The Negotiator,1998,"Action, Crime, Drama, Thriller",7.101,en
The Color Purple,1985,"Drama, History",7.751,en
The Battery,2012,"Drama, Horror",6.2,en
Mirrors,2008,"Horror, Mystery",6.284,en
Mansion of the Doomed,1976,Horror,6.2,en
As Good as It Gets,1997,"Drama, Comedy, Romance",7.392,en
Baby Boy,2001,"Crime, Drama, Romance, Thriller",7.121,en
Freaky Deaky,2012,Comedy,5,en
Ender's Game,2013,"Science Fiction, Action, Adventure",6.589,en
The 33,2015,"Drama, History",6.396,en
Evolution,2001,"Comedy, Science Fiction, Action",6.098,en
Dirty Harry,1971,"Action, Crime, Thriller",7.443,en
Confessions of a Shopaholic,2009,"Comedy, Romance",6.488,en
Red Right Hand,2024,"Crime, Action, Thriller",6.7,en
The Wolfman,2010,Horror,5.877,en
Lara Croft: Tomb Raider - The Cradle of Life,2003,"Action, Adventure, Fantasy, Thriller",5.749,en
Kiss and Kill,2017,"Mystery, Thriller, Romance",5.3,en
The Silent Hour,2024,"Crime, Thriller, Action",6.5,en
The Deadly Companions,1961,Western,5.7,en
Good Luck Chuck,2007,"Comedy, Romance",5.903,en
Munich,2005,"Drama, Action, History, Thriller",7.138,en
Everest,2015,"Adventure, Drama, History",6.825,en
The Hurt Locker,2008,"Drama, Thriller, War",7.255,en
Oculus,2013,Horror,6.479,en
The Dukes of Hazzard,2005,"Comedy, Adventure, Action",5.6,en
Equilibrium,2002,"Action, Science Fiction, Thriller",7.043,en
Hidden,2015,"Thriller, Horror",6.897,en
The Human Centipede 2 (Full Sequence),2011,"Drama, Horror, Crime",4.8,en
Undisputed,2002,"Action, Drama, Crime",6.517,en
Fear Street: 1666,2021,"Mystery, Horror",7.108,en
